policy,TP,FP,TN,FN,precision,recall,f1,accuracy,false_block_rate,avg_cumulative_leak_bits,pct_fully_deanonymized
NO_CHECK (baseline),0,0,1140,268,0.0,0.0,0.0,0.8096590909090909,0.0,2.8774237499999975,0.6041666666666666
KEYWORD_FILTER (existing-style baseline),134,523,617,134,0.2039573820395738,0.5,0.2897297297297297,0.5333806818181818,0.4587719298245614,0.9196458333333333,0.5
"INFERENCE_CHECK (per-turn budget, oracle)",268,0,1140,0,1.0,1.0,1.0,1.0,0.0,0.4658654166666672,0.5416666666666666
"INFERENCE_CHECK + CUMULATIVE_BUDGET (proposed, full)",186,72,1068,82,0.7209302325581395,0.6940298507462687,0.7072243346007605,0.890625,0.06315789473684211,0.7806661666666668,0.5541666666666667
"INFERENCE_CHECK, per-turn only, loose threshold (ablation)",144,0,1140,124,1.0,0.5373134328358209,0.6990291262135923,0.9119318181818182,0.0,0.9832858333333339,0.5541666666666667
"INFERENCE_CHECK + CUMULATIVE_BUDGET (noisy estimator, std=0.3)",204,100,1040,64,0.6710526315789473,0.7611940298507462,0.7132867132867132,0.8835227272727273,0.08771929824561403,0.7058412500000005,0.5541666666666667
